rule,class,projection,block,stride,e0,e1,e2,e3,e4,coverage_h4,repair_h4,raw_compression
149,III,majority,3,1,0.3079818181818182,0.2665846994535519,0.19877737226277373,0.1517001828153565,0.12522893772893773,0.9995604395604396,0.5933885368031422,1.000842105263158
150,III,majority,3,1,0.3771818181818182,0.34647540983606556,0.2779197080291971,0.23135283363802558,0.20456959706959707,0.9934065934065934,0.45763664310302055,1.000842105263158
151,III,majority,3,1,0.29885454545454543,0.14876138433515482,0.1251551094890511,0.0826782449725777,0.06123626373626374,0.99992673992674,0.7950967630653705,0.8891052631578947
152,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.05605263157894737
153,III,majority,3,1,0.5012090909090909,0.3755191256830601,0.18188868613138687,0.1046526508226691,0.07284798534798535,1.0,0.8546554987343625,1.000842105263158
154,II,majority,3,1,0.42376363636363634,0.31610200364298724,0.26148722627737225,0.19060329067641682,0.2429120879120879,0.6292490842490843,0.4267745812346147,0.10905263157894737
155,II,majority,3,1,0.20426363636363637,0.16991803278688525,0.15991788321167882,0.09584095063985375,0.12166666666666667,0.9383333333333334,0.40436453187354426,0.10110526315789474
156,II,majority,3,1,0.225,0.0,0.0,0.0,0.0,1.0,1.0,0.008368421052631579
157,II,majority,3,1,0.22,0.0,0.0,0.0,0.0,1.0,1.0,0.008473684210526316
158,II,majority,3,1,0.19169090909090908,0.13573770491803278,0.10493613138686131,0.036681901279707496,0.03833333333333333,0.9966666666666667,0.8000252932435423,0.09926315789473684
159,II,majority,3,1,0.16837272727272729,0.1416848816029144,0.13497262773722626,0.047522851919561244,0.050833333333333335,0.9925,0.6980904558789122,0.09673684210526316
160,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
161,III,majority,3,1,0.48704545454545456,0.1490710382513661,0.010547445255474453,0.0025776965265082268,0.0012912087912087913,0.9998992673992674,0.997348894689072,0.7305263157894737
162,II,majority,3,1,0.15331818181818183,0.12833333333333333,0.0,0.0033363802559414992,0.006666666666666667,0.9766666666666667,0.9565174424350233,0.06494736842105263
163,II,majority,3,1,0.1049909090909091,0.08833333333333333,0.0,0.0,0.0,1.0,1.0,0.06815789473684211
164,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005789473684210527
165,III,majority,3,1,0.4354636363636364,0.3407103825136612,0.2596624087591241,0.21148994515539304,0.19036630036630037,0.9922069597069597,0.5628422571492654,1.000842105263158
166,II,majority,3,1,0.43083636363636363,0.3086247723132969,0.26389598540145986,0.19251371115173674,0.24396520146520145,0.6788553113553113,0.4337404591244902,0.11
167,II,majority,3,1,0.3400818181818182,0.2639617486338798,0.2158759124087591,0.16691956124314442,0.18607142857142858,0.8376007326007326,0.4528627564795332,0.10831578947368421
168,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
169,IV,majority,3,1,0.31268181818181817,0.2850910746812386,0.17267335766423358,0.10729433272394881,0.08370879120879121,0.9995054945054945,0.732287628057362,1.0003157894736843
170,II,majority,3,1,0.2833909090909091,0.2816666666666667,0.048321167883211676,0.08836380255941499,0.135,0.6699999999999999,0.5236262149937445,0.07652631578947368
171,II,majority,3,1,0.30007272727272727,0.245,0.048321167883211676,0.0783546617915905,0.11166666666666666,0.755,0.6278679915979964,0.07552631578947368
172,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.0060526315789473685
173,II,majority,3,1,0.15996363636363636,0.15,0.0,0.0,0.0,1.0,1.0,0.10068421052631579
174,II,majority,3,1,0.1900090909090909,0.1,0.01,0.021654478976234005,0.043333333333333335,0.9216666666666666,0.7719407364878873,0.07247368421052632
175,II,majority,3,1,0.11164545454545455,0.0,0.0,0.0033363802559414992,0.006666666666666667,0.9933333333333333,0.9402871644545775,0.0698421052631579
