A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace
4,30,0,2,1,one_edit,0,64,0,3600,4112,4112,4240,0,0,64,0,0,64,0,0,64
4,30,0,2,1,far,0,176,2,9900,11308,11308,11660,0,0,176,0,0,176,0,0,176
4,30,0,2,4,unchanged,0,16,16,1200,1328,1328,1360,0,0,16,0,0,16,0,0,16
4,30,0,2,4,one_edit,0,64,0,4800,5312,5312,5440,0,0,64,0,0,64,0,0,64
4,30,0,2,4,far,0,176,2,13200,14608,14608,14960,0,0,176,0,0,176,0,0,176
4,30,0,2,16,unchanged,0,16,16,2400,2528,2528,2560,0,0,16,0,0,16,0,0,16
4,30,0,2,16,one_edit,0,64,0,9600,10112,10112,10240,0,0,64,0,0,64,0,0,64
4,30,0,2,16,far,0,176,2,26400,27808,27808,28160,0,0,176,0,0,176,0,0,176
4,30,0,4,1,unchanged,0,16,16,900,1028,1028,1092,0,0,16,0,0,16,0,0,16
4,30,0,4,1,one_edit,0,64,0,3600,4112,4112,4368,0,0,64,0,0,64,0,0,64
4,30,0,4,1,far,0,176,2,9900,11308,11308,12012,0,0,176,0,0,176,0,0,176
4,30,0,4,4,unchanged,0,16,16,1200,1328,1328,1392,0,0,16,0,0,16,0,0,16
4,30,0,4,4,one_edit,0,64,0,4800,5312,5312,5568,0,0,64,0,0,64,0,0,64
4,30,0,4,4,far,0,176,2,13200,14608,14608,15312,0,0,176,0,0,176,0,0,176
4,30,0,4,16,unchanged,0,16,16,2400,2528,2528,2592,0,0,16,0,0,16,0,0,16
4,30,0,4,16,one_edit,0,64,0,9600,10112,10112,10368,0,0,64,0,0,64,0,0,64
4,30,0,4,16,far,0,176,2,26400,27808,27808,28512,0,0,176,0,0,176,0,0,176
4,30,0,8,1,unchanged,0,16,16,900,1028,1028,1156,0,0,16,0,0,16,0,0,16
4,30,0,8,1,one_edit,0,64,0,3600,4112,4112,4624,0,0,64,0,0,64,0,0,64
4,30,0,8,1,far,0,176,2,9900,11308,11308,12716,0,0,176,0,0,176,0,0,176
4,30,0,8,4,unchanged,0,16,16,1200,1328,1328,1456,0,0,16,0,0,16,0,0,16
4,30,0,8,4,one_edit,0,64,0,4800,5312,5312,5824,0,0,64,0,0,64,0,0,64
4,30,0,8,4,far,0,176,2,13200,14608,14608,16016,0,0,176,0,0,176,0,0,176
4,30,0,8,16,unchanged,0,16,16,2400,2528,2528,2656,0,0,16,0,0,16,0,0,16
4,30,0,8,16,one_edit,0,64,0,9600,10112,10112,10624,0,0,64,0,0,64,0,0,64
4,30,0,8,16,far,0,176,2,26400,27808,27808,29216,0,0,176,0,0,176,0,0,176
4,30,1,0,1,unchanged,0,5,5,342,364,364,364,2,0,3,0,5,0,0,5,0
4,30,1,0,1,one_edit,0,20,0,1424,1520,1520,1506,4,4,12,6,14,0,6,14,0
4,30,1,0,1,far,0,55,2,4098,4356,4356,4342,12,10,33,14,41,0,14,41,0
4,30,1,0,1,far,1,121,0,15702,12014,12014,11998,121,0,0,16,105,0,16,105,0
4,30,1,0,1,one_edit,1,44,0,5776,4438,4438,4364,44,0,0,26,18,0,26,18,0
4,30,1,0,1,unchanged,1,11,11,1458,1078,1078,1078,11,0,0,0,11,0,0,11,0
4,30,1,0,4,unchanged,0,5,5,456,472,464,444,4,0,1,4,1,0,4,1,0
4,30,1,0,4,one_edit,0,20,0,2048,2144,2024,1960,8,2,10,16,4,0,16,4,0
4,30,1,0,4,far,0,55,2,6360,6600,6020,5882,48,0,7,55,0,0,50,5,0
4,30,1,0,4,far,1,121,0,20040,16112,15344,15033,121,0,0,101,20,0,97,24,0
4,30,1,0,4,one_edit,1,44,0,7552,6136,5704,5540,44,0,0,36,8,0,36,8,0
