rule_a,rule_b,regime,density,activity,baseline,autonomy_r1,autonomy_r2,autonomy_r3
118,188,noisy,0.4714,0.5326,0.5286,0.5962,0.8683,0.8798
100,210,noisy,0.5285,0.4979,0.5285,0.7057,0.8017,0.8213
109,146,noisy,0.6004,0.4746,0.6004,0.6261,0.7306,0.749
62,169,noisy,0.4838,0.465,0.5162,0.6244,0.6376,0.6385
52,237,noisy,0.5723,0.5017,0.5723,0.749,0.7606,0.7724
26,172,noisy,0.4885,0.5045,0.5115,0.625,0.6391,0.6413
126,233,noisy,0.5702,0.4984,0.5702,0.5955,0.9836,0.9843
62,79,noisy,0.4918,0.497,0.5082,0.5131,0.6667,0.6717
210,225,noisy,0.4984,0.4986,0.5016,0.5037,0.595,0.5973
165,244,noisy,0.5027,0.5016,0.5027,0.6099,0.9724,0.9724
86,112,noisy,0.465,0.3408,0.535,0.8016,0.8151,0.8245
192,233,noisy,0.515,0.4761,0.515,0.7063,0.7368,0.7388
124,234,noisy,0.5008,0.4665,0.5008,0.6223,0.7854,0.7992
3,126,noisy,0.4967,0.5016,0.5033,0.6152,0.9823,0.9831
30,182,noisy,0.5117,0.4909,0.5117,0.5152,0.5916,0.5938
18,164,noisy,0.4301,0.4987,0.5699,0.7405,0.7537,0.7601
106,214,noisy,0.485,0.4679,0.515,0.5347,0.6061,0.6094
107,226,noisy,0.4362,0.3706,0.5638,0.6506,0.7519,0.8005
50,145,noisy,0.4834,0.4278,0.5166,0.6959,0.7056,0.7078
152,195,noisy,0.4982,0.5019,0.5018,0.7142,0.7142,0.716
57,90,noisy,0.4998,0.4994,0.5002,0.506,0.6349,0.6379
72,193,noisy,0.612,0.5019,0.612,0.6122,0.9752,0.9776
122,252,noisy,0.5019,0.4955,0.5019,0.6611,0.9824,0.9831
125,183,noisy,0.4583,0.4956,0.5417,0.7566,0.7736,0.7753
