m,w,area,a,b,k,u,v,rule,physical_flips
1,5,5,0,16,1,1,0,0,1
1,5,5,1,0,1,1,0,255,1
1,5,5,2,0,1,1,0,255,1
1,5,5,4,0,1,1,0,255,1
1,5,5,8,0,1,1,0,255,1
1,5,5,15,31,1,1,0,255,1
1,5,5,16,0,1,1,0,255,1
1,5,5,23,31,1,1,0,255,1
1,5,5,27,31,1,1,0,255,1
1,5,5,29,31,1,1,0,255,1
1,5,5,30,31,1,1,0,255,1
1,5,5,31,15,1,1,0,0,1
1,5,5,31,23,1,1,0,0,1
1,5,5,31,27,1,1,0,0,1
1,5,5,31,29,1,1,0,0,1
1,5,5,31,30,1,1,0,0,1
1,5,5,0,1,2,-2,0,0,1
1,5,5,0,2,2,-2,0,0,1
1,5,5,0,4,2,-2,0,0,1
1,5,5,0,5,2,-2,0,0,2
1,5,5,0,8,2,-2,0,0,1
1,5,5,0,9,2,-2,0,0,2
1,5,5,0,10,2,-2,0,0,2
1,5,5,0,16,2,-2,0,0,1
1,5,5,0,18,2,-2,0,0,2
1,5,5,0,20,2,-2,0,0,2
1,5,5,1,0,2,-2,0,255,1
1,5,5,2,0,2,-2,0,255,1
1,5,5,4,0,2,-2,0,255,1
1,5,5,5,0,2,-2,0,255,2
1,5,5,8,0,2,-2,0,255,1
1,5,5,9,0,2,-2,0,255,2
1,5,5,10,0,2,-2,0,255,2
